category_type,category_label,product_name,brand,key_ingredient,product_type,approx_rating,price_inr,purchase_link,image_url
skin_concern,Pores,Niacinamide 10% + Zinc 1%,The Ordinary,Niacinamide + Zinc,Serum,4.3,₹720,https://www.amazon.in/s?k=The+Ordinary+Niacinamide+10%+++Zinc+1%,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Pores,Pore Refining Toner with Salicylic Acid,Plum,Salicylic Acid + Willow Bark,Toner,4.2,₹450,https://www.amazon.in/s?k=Plum+Pore+Refining+Toner+with+Salicylic+Acid,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=600&q=80
skin_concern,Pores,Skin Perfecting 2% BHA Liquid Exfoliant,Paula's Choice,Salicylic Acid,Liquid Exfoliant,4.5,"₹3,290",https://www.amazon.in/s?k=Paula's+Choice+Skin+Perfecting+2%+BHA+Liquid+Exfoliant,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=600&q=80
skin_concern,Pores,Niacinamide Glow Serum,The Face Shop,Niacinamide 10% + Rice Extract,Serum,4.2,₹799,https://www.amazon.in/s?k=The+Face+Shop+Niacinamide+Glow+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Pores,10% Niacinamide Ampoule Serum,Dr. Sheth's,Niacinamide + Centella Asiatica,Serum,4.4,₹699,https://www.amazon.in/s?k=Dr.+Sheth's+10%+Niacinamide+Ampoule+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Redness,Azelaic Acid 10% Hyaluron Redness Soothing Serum,Anua,Azelaic Acid + Niacinamide,Serum,4.4,"₹1,450",https://www.amazon.in/s?k=Anua+Azelaic+Acid+10%+Hyaluron+Redness+Soothing+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Redness,Toleriane Ultra Soothing Repair Moisturizer,La Roche-Posay,Neurosensine + Thermal Water,Moisturizer,4.5,"₹1,900",https://www.amazon.in/s?k=La+Roche-Posay+Toleriane+Ultra+Soothing+Repair+Moisturizer,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_concern,Redness,R.E.D Blemish Clear Soothing Cream,Dr.G,Niacinamide + Centella,Cream,4.3,"₹1,600",https://www.amazon.in/s?k=Dr.G+R.E.D+Blemish+Clear+Soothing+Cream,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_concern,Redness,Cicaplast Baume B5,La Roche-Posay,Panthenol + Centella,Balm,4.6,₹899,https://www.amazon.in/s?k=La+Roche-Posay+Cicaplast+Baume+B5,https://images.unsplash.com/photo-1601049541289-9b1b7bbbfe19?auto=format&fit=crop&w=600&q=80
skin_concern,Redness,Water Bomb Soothing Cream (Centella),belif,Centella Asiatica,Cream,4.4,"₹1,299",https://www.amazon.in/s?k=belif+Water+Bomb+Soothing+Cream+(Centella),https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_concern,Redness,Mighty Bamboo Panthenol Cream,Purito,Panthenol + Niacinamide + Peptides,Moisturizer,4.4,"₹1,690",https://www.amazon.in/s?k=Purito+Mighty+Bamboo+Panthenol+Cream,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_concern,Redness,Wonder Releaf Centella Serum Unscented,Purito,Centella + Niacinamide + Ceramides,Serum,4.4,"₹1,590",https://www.amazon.in/s?k=Purito+Wonder+Releaf+Centella+Serum+Unscented,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_type,Oily,Liquid Facial Soap Oily Skin Formula,Clinique,Mild surfactants,Face Wash,4.3,"₹1,838",https://www.amazon.in/s?k=Clinique+Liquid+Facial+Soap+Oily+Skin+Formula,https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80
skin_type,Oily,Pure Active Daily Energising Gel Scrub,Garnier,Salicylic Acid,Exfoliator,4.3,₹524,https://www.amazon.in/s?k=Garnier+Pure+Active+Daily+Energising+Gel+Scrub,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=600&q=80
skin_type,Oily,10% Niacinamide + 1% Zinc Serum,The Ordinary,Niacinamide + Zinc,Serum,4.3,₹720,https://www.amazon.in/s?k=The+Ordinary+10%+Niacinamide+++1%+Zinc+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_type,Oily,Effaclar Mat Oil-Free Moisturizer,La Roche-Posay,Sebulyse Complex,Moisturizer,4.4,"₹1,800",https://www.amazon.in/s?k=La+Roche-Posay+Effaclar+Mat+Oil-Free+Moisturizer,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Oily,DermaControl Oil Absorbing Moisturizer SPF 30,Cetaphil,Zinc + Niacinamide,Moisturizer + SPF,4.4,₹899,https://www.amazon.in/s?k=Cetaphil+DermaControl+Oil+Absorbing+Moisturizer+SPF+30,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_type,Oily,Ultra Matte Dry Touch Sunscreen SPF 50 PA++++,Re'equil,"Chemical UV filters, oil-free",Sunscreen,4.5,₹425,https://www.amazon.in/s?k=Re'equil+Ultra+Matte+Dry+Touch+Sunscreen+SPF+50+PA++++,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_type,Oily,5% Nia-Ceramide Mattifying Moisturizer,Derma Co,Niacinamide + Ceramides,Moisturizer,4.3,₹549,https://www.amazon.in/s?k=Derma+Co+5%+Nia-Ceramide+Mattifying+Moisturizer,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Oily,Thinkderma 2% Rice Water & Niacinamide Clear Moisture Gel Cream,Plum,Rice Water + Niacinamide,Gel Moisturizer,4.3,₹425,https://www.amazon.in/s?k=Plum+Thinkderma+2%+Rice+Water+&+Niacinamide+Clear+Moisture+Gel+Cream,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Dry,Moisturising Cream for Dry to Very Dry Skin,CeraVe,Ceramides + Hyaluronic Acid,Moisturizer,4.6,"₹1,150",https://www.amazon.in/s?k=CeraVe+Moisturising+Cream+for+Dry+to+Very+Dry+Skin,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Dry,Toleriane Sensitive Fluid Moisturizer,La Roche-Posay,Prebiotic Thermal Water + Ceramides,Moisturizer,4.4,"₹1,900",https://www.amazon.in/s?k=La+Roche-Posay+Toleriane+Sensitive+Fluid+Moisturizer,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Dry,Moisturising Lotion,Cetaphil,Glycerin + Niacinamide,Lotion,4.5,₹649,https://www.amazon.in/s?k=Cetaphil+Moisturising+Lotion,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Dry,Hyaluronic Acid 2% + B5 Hydrating Serum,The Ordinary,Hyaluronic Acid,Serum,4.4,₹720,https://www.amazon.in/s?k=The+Ordinary+Hyaluronic+Acid+2%+++B5+Hydrating+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_type,Dry,Ultra Facial Cream,Kiehl's,Squalane + Glacial Glycoprotein,Moisturizer,4.5,"₹2,650",https://www.amazon.in/s?k=Kiehl's+Ultra+Facial+Cream,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Dry,Dewy Finish Sunscreen,Foxtale,"Hydrating filters, glycerin",Sunscreen,4.3,₹599,https://www.amazon.in/s?k=Foxtale+Dewy+Finish+Sunscreen,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_type,Dry,Ceramide + Vit C Sunscreen,Dr. Sheth's,Ceramides + Vitamin C + SPF,Sunscreen,4.3,₹549,https://www.amazon.in/s?k=Dr.+Sheth's+Ceramide+++Vit+C+Sunscreen,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_type,Dry,SPF 50 Cream,Re'equil,"Broad Spectrum, rich cream base",Sunscreen,4.3,₹449,https://www.amazon.in/s?k=Re'equil+SPF+50+Cream,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_type,Sensitive,Toleriane Ultra Soothing Repair Moisturizer,La Roche-Posay,Neurosensine,Moisturizer,4.5,"₹1,900",https://www.amazon.in/s?k=La+Roche-Posay+Toleriane+Ultra+Soothing+Repair+Moisturizer,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Sensitive,Cicaplast Baume B5,La Roche-Posay,Panthenol + Centella,Balm,4.6,₹899,https://www.amazon.in/s?k=La+Roche-Posay+Cicaplast+Baume+B5,https://images.unsplash.com/photo-1601049541289-9b1b7bbbfe19?auto=format&fit=crop&w=600&q=80
skin_type,Sensitive,Moisturising Cream,Cetaphil,Ceramides + Niacinamide,Moisturizer,4.5,₹700,https://www.amazon.in/s?k=Cetaphil+Moisturising+Cream,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Sensitive,Water Bomb Soothing Cream (Centella),belif,Centella Asiatica,Cream,4.4,"₹1,299",https://www.amazon.in/s?k=belif+Water+Bomb+Soothing+Cream+(Centella),https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Sensitive,Gentle Skin Cleanser,Cetaphil,"Glycerin, no fragrance",Cleanser,4.6,₹399,https://www.amazon.in/s?k=Cetaphil+Gentle+Skin+Cleanser,https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80
skin_type,Sensitive,Anthelios UVMune 400,La Roche-Posay,"Mineral/hybrid filters, fragrance-free",Sunscreen,4.5,"₹1,650",https://www.amazon.in/s?k=La+Roche-Posay+Anthelios+UVMune+400,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_type,Sensitive,Mighty Bamboo Panthenol Cream,Purito,"Panthenol, fragrance-free",Moisturizer,4.4,"₹1,690",https://www.amazon.in/s?k=Purito+Mighty+Bamboo+Panthenol+Cream,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Combination,Ultra Facial Cream,Kiehl's,Squalane,Moisturizer,4.5,"₹2,650",https://www.amazon.in/s?k=Kiehl's+Ultra+Facial+Cream,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Combination,Niacinamide & Alpha Arbutin Skin Clarifying Serum,Pilgrim,Niacinamide 5% + Alpha Arbutin,Serum,4.3,₹499,https://www.amazon.in/s?k=Pilgrim+Niacinamide+&+Alpha+Arbutin+Skin+Clarifying+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_type,Combination,Effaclar Clarifying Toner,La Roche-Posay,Glycolic Acid + Niacinamide,Toner,4.3,"₹1,312",https://www.amazon.in/s?k=La+Roche-Posay+Effaclar+Clarifying+Toner,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=600&q=80
skin_type,Combination,Hyaluronic Acid 2% + B5,The Ordinary,Hyaluronic Acid,Serum,4.4,₹720,https://www.amazon.in/s?k=The+Ordinary+Hyaluronic+Acid+2%+++B5,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_type,Combination,Rice Water Bright Cleansing Foam,The Face Shop,Rice Extract,Cleanser,4.3,₹550,https://www.amazon.in/s?k=The+Face+Shop+Rice+Water+Bright+Cleansing+Foam,https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80
skin_type,Combination,SPF 50 PA++++ Sunscreen (Niacinamide),Minimalist,Niacinamide 5% + SPF,Sunscreen,4.4,₹399,https://www.amazon.in/s?k=Minimalist+SPF+50+PA+++++Sunscreen+(Niacinamide),https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_type,Combination,Cica + Niacinamide Oil-Free Moisturizer,Dot & Key,Centella + Niacinamide + Hyaluronic Acid,Moisturizer,4.3,₹575,https://www.amazon.in/s?k=Dot+&+Key+Cica+++Niacinamide+Oil-Free+Moisturizer,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Normal,Daily Facial Moisturizer SPF 15,Cetaphil,Broad Spectrum SPF,Moisturizer + SPF,4.4,₹599,https://www.amazon.in/s?k=Cetaphil+Daily+Facial+Moisturizer+SPF+15,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_type,Normal,Ultra Facial Cream,Kiehl's,Squalane,Moisturizer,4.5,"₹2,650",https://www.amazon.in/s?k=Kiehl's+Ultra+Facial+Cream,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_type,Normal,Hyaluronic Acid 2% + B5,The Ordinary,Hyaluronic Acid,Serum,4.4,₹720,https://www.amazon.in/s?k=The+Ordinary+Hyaluronic+Acid+2%+++B5,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_type,Normal,Gentle Skin Cleanser,Cetaphil,Glycerin,Cleanser,4.6,₹399,https://www.amazon.in/s?k=Cetaphil+Gentle+Skin+Cleanser,https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80
skin_type,Normal,Water Bomb Soothing Cream (Centella),belif,Centella Asiatica,Cream,4.4,"₹1,299",https://www.amazon.in/s?k=belif+Water+Bomb+Soothing+Cream+(Centella),https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
