Index,X,Y,Z,Region,Description
24,-3.775151,2.039402,3.646194,Eyebrow,"Landmark 24 along the eyebrow arch, marking the supraorbital ridge contour."
25,-4.465819,2.42295,3.155168,Eyebrow,"Landmark 25 along the eyebrow arch, marking the supraorbital ridge contour."
26,-2.164289,2.189867,3.851822,Eyebrow,"Landmark 26 along the eyebrow arch, marking the supraorbital ridge contour."
27,-3.208229,3.223926,4.115822,Eyebrow,"Landmark 27 along the eyebrow arch, marking the supraorbital ridge contour."
28,-2.673803,3.205337,4.092203,Eyebrow,"Landmark 28 along the eyebrow arch, marking the supraorbital ridge contour."
29,-3.745193,3.165286,3.972409,Eyebrow,"Landmark 29 along the eyebrow arch, marking the supraorbital ridge contour."
30,-4.161018,3.059069,3.719554,Eye,Landmark 30 outlining the orbital contour surrounding the eye socket.
31,-5.062006,1.934418,2.776093,Eye,Landmark 31 outlining the orbital contour surrounding the eye socket.
32,-2.266659,-7.425768,4.389812,Eye,Landmark 32 outlining the orbital contour surrounding the eye socket.
33,-4.445859,2.663991,3.173422,Left Eye,"Outer corner of the left eye (lateral canthus), junction of upper and lower eyelids on the temporal side."
34,-7.21453,2.263009,0.07315,Eye,Landmark 34 outlining the orbital contour surrounding the eye socket.
35,-5.799793,2.349546,2.204059,Eye,Landmark 35 outlining the orbital contour surrounding the eye socket.
36,-2.844939,-0.720868,4.43313,Eye,Landmark 36 outlining the orbital contour surrounding the eye socket.
37,-0.711452,-3.329355,5.877044,Eye,Landmark 37 outlining the orbital contour surrounding the eye socket.
38,-0.606033,-3.924562,5.444923,Eye,Landmark 38 outlining the orbital contour surrounding the eye socket.
39,-1.431615,-3.500953,5.496189,Eye,Landmark 39 outlining the orbital contour surrounding the eye socket.
40,-1.91491,-3.803146,5.02893,Eye,Landmark 40 outlining the orbital contour surrounding the eye socket.
41,-1.131043,-3.973937,5.189648,Eye,Landmark 41 outlining the orbital contour surrounding the eye socket.
42,-1.563548,-4.082763,4.842263,Eye,Landmark 42 outlining the orbital contour surrounding the eye socket.
43,-2.650112,-5.003649,4.188483,Eye,Landmark 43 outlining the orbital contour surrounding the eye socket.
44,-0.427049,-1.094134,7.360529,Eye,Landmark 44 outlining the orbital contour surrounding the eye socket.
45,-0.496396,-0.475659,7.440358,Eye,Landmark 45 outlining the orbital contour surrounding the eye socket.
46,-5.253307,3.881582,3.363159,Eye,Landmark 46 outlining the orbital contour surrounding the eye socket.
47,-1.718698,0.974609,4.558359,Eye,Landmark 47 outlining the orbital contour surrounding the eye socket.
48,-1.608635,-0.942516,5.814193,Eye,Landmark 48 outlining the orbital contour surrounding the eye socket.
49,-1.651267,-0.610868,5.581319,Eye,Landmark 49 outlining the orbital contour surrounding the eye socket.
50,-4.765501,-0.701554,3.534632,Eye,Landmark 50 outlining the orbital contour surrounding the eye socket.
51,-0.478306,0.295766,7.101013,Eye,Landmark 51 outlining the orbital contour surrounding the eye socket.
52,-3.734964,4.50823,4.550454,Eye,Landmark 52 outlining the orbital contour surrounding the eye socket.
53,-4.588603,4.302037,4.048484,Eye,Landmark 53 outlining the orbital contour surrounding the eye socket.
54,-6.279331,6.615427,1.42585,Eye,Landmark 54 outlining the orbital contour surrounding the eye socket.
55,-1.220941,4.142165,5.106035,Eye,Landmark 55 outlining the orbital contour surrounding the eye socket.
56,-2.193489,3.100317,4.000575,Eye,Landmark 56 outlining the orbital contour surrounding the eye socket.
57,-3.102642,-4.352984,4.095905,Eye,Landmark 57 outlining the orbital contour surrounding the eye socket.
58,-6.719682,-4.788645,-1.745401,Eye,Landmark 58 outlining the orbital contour surrounding the eye socket.
59,-1.193824,-1.306795,5.737747,Eye,Landmark 59 outlining the orbital contour surrounding the eye socket.
60,-0.729766,-1.593712,5.833208,Nose,"Landmark 60 on the nasal dorsum, sidewall, or alar base of the nose."
61,-2.456206,-4.342621,4.283884,Lips,"Upper lip vermilion border (labiale superius), central midline point of the upper lip."
62,-2.204823,-4.304508,4.162499,Nose,"Landmark 62 on the nasal dorsum, sidewall, or alar base of the nose."
63,-4.985894,4.802461,3.751977,Nose,"Landmark 63 on the nasal dorsum, sidewall, or alar base of the nose."
64,-1.592294,-1.257709,5.456949,Nose,"Landmark 64 on the nasal dorsum, sidewall, or alar base of the nose."
65,-2.644548,4.524654,4.921559,Nose,"Landmark 65 on the nasal dorsum, sidewall, or alar base of the nose."
66,-2.760292,5.100971,5.01599,Nose,"Landmark 66 on the nasal dorsum, sidewall, or alar base of the nose."
67,-3.523964,8.005976,3.729163,Nose,"Landmark 67 on the nasal dorsum, sidewall, or alar base of the nose."
68,-5.599763,5.71547,2.724259,Nose,"Landmark 68 on the nasal dorsum, sidewall, or alar base of the nose."
69,-3.063932,6.566144,4.529981,Nose,"Landmark 69 on the nasal dorsum, sidewall, or alar base of the nose."
70,-5.720968,4.254584,2.830852,Nose,"Landmark 70 on the nasal dorsum, sidewall, or alar base of the nose."
71,-6.374393,4.78559,1.591691,Nose,"Landmark 71 on the nasal dorsum, sidewall, or alar base of the nose."
72,-0.672728,-3.688016,5.737804,Nose,"Landmark 72 on the nasal dorsum, sidewall, or alar base of the nose."
73,-1.26256,-3.787691,5.417779,Nose,"Landmark 73 on the nasal dorsum, sidewall, or alar base of the nose."
74,-1.732553,-3.952767,5.000579,Nose,"Landmark 74 on the nasal dorsum, sidewall, or alar base of the nose."
75,-1.043625,-1.464973,5.662455,Nose,"Landmark 75 on the nasal dorsum, sidewall, or alar base of the nose."
76,-2.321234,-4.329069,4.258156,Nose,"Landmark 76 on the nasal dorsum, sidewall, or alar base of the nose."
77,-2.056846,-4.477671,4.520883,Nose,"Landmark 77 on the nasal dorsum, sidewall, or alar base of the nose."
78,-2.153084,-4.276322,4.038093,Nose,"Landmark 78 on the nasal dorsum, sidewall, or alar base of the nose."
79,-0.946874,-1.035249,6.512274,Nose,"Landmark 79 on the nasal dorsum, sidewall, or alar base of the nose."
80,-1.469132,-4.036351,4.604908,Nose,"Landmark 80 on the nasal dorsum, sidewall, or alar base of the nose."
81,-1.02434,-3.989851,4.926693,Nose,"Landmark 81 on the nasal dorsum, sidewall, or alar base of the nose."
82,-0.533422,-3.993222,5.138202,Nose,"Landmark 82 on the nasal dorsum, sidewall, or alar base of the nose."
83,-0.76972,-6.095394,4.985883,Nose,"Landmark 83 on the nasal dorsum, sidewall, or alar base of the nose."
84,-0.699606,-5.29185,5.448304,Nose,"Landmark 84 on the nasal dorsum, sidewall, or alar base of the nose."
85,-0.669687,-4.94977,5.509612,Nose,"Landmark 85 on the nasal dorsum, sidewall, or alar base of the nose."
86,-0.630947,-4.695101,5.449371,Nose,"Landmark 86 on the nasal dorsum, sidewall, or alar base of the nose."
87,-0.583218,-4.517982,5.339869,Nose,"Landmark 87 on the nasal dorsum, sidewall, or alar base of the nose."
88,-1.53717,-4.423206,4.74547,Nose,"Landmark 88 on the nasal dorsum, sidewall, or alar base of the nose."
89,-1.6156,-4.475942,4.813632,Nose,"Landmark 89 on the nasal dorsum, sidewall, or alar base of the nose."
90,-1.729053,-4.61868,4.854463,Nose,"Landmark 90 on the nasal dorsum, sidewall, or alar base of the nose."
91,-1.838624,-4.828746,4.823737,Nose,"Landmark 91 on the nasal dorsum, sidewall, or alar base of the nose."
92,-2.36825,-3.106237,4.868096,Nose,"Landmark 92 on the nasal dorsum, sidewall, or alar base of the nose."
93,-7.542244,-1.049282,-2.431321,Nose,"Landmark 93 on the nasal dorsum, sidewall, or alar base of the nose."
94,0.0,-1.724003,6.60139,Nose,"Landmark 94 on the nasal dorsum, sidewall, or alar base of the nose."
95,-1.826614,-4.399531,4.399021,Nose,"Landmark 95 on the nasal dorsum, sidewall, or alar base of the nose."
96,-1.929558,-4.411831,4.497052,Nose,"Landmark 96 on the nasal dorsum, sidewall, or alar base of the nose."
97,-0.597442,-2.013686,5.866456,Nose,"Landmark 97 on the nasal dorsum, sidewall, or alar base of the nose."
98,-1.405627,-1.714196,5.241087,Nose,"Landmark 98 on the nasal dorsum, sidewall, or alar base of the nose."
99,-0.662449,-1.819321,5.863759,Nose,"Landmark 99 on the nasal dorsum, sidewall, or alar base of the nose."
100,-2.34234,0.572222,4.294303,Nose,"Landmark 100 on the nasal dorsum, sidewall, or alar base of the nose."
101,-3.327324,0.104863,4.11386,Nose,"Landmark 101 on the nasal dorsum, sidewall, or alar base of the nose."
102,-1.726175,-0.919165,5.273355,Nose,"Landmark 102 on the nasal dorsum, sidewall, or alar base of the nose."
103,-5.133204,7.485602,2.660442,Nose,"Landmark 103 on the nasal dorsum, sidewall, or alar base of the nose."
104,-4.538641,6.319907,3.683424,Nose,"Landmark 104 on the nasal dorsum, sidewall, or alar base of the nose."
105,-3.986562,5.109487,4.466315,Nose,"Landmark 105 on the nasal dorsum, sidewall, or alar base of the nose."
106,-2.169681,-5.440433,4.455874,Nose,"Landmark 106 on the nasal dorsum, sidewall, or alar base of the nose."
107,-1.395634,5.011963,5.316032,Nose,"Landmark 107 on the nasal dorsum, sidewall, or alar base of the nose."
108,-1.6195,6.599217,4.921106,Nose,"Landmark 108 on the nasal dorsum, sidewall, or alar base of the nose."
109,-1.891399,8.236377,4.274997,Nose,"Landmark 109 on the nasal dorsum, sidewall, or alar base of the nose."
110,-4.195832,2.235205,3.375099,Nose,"Landmark 110 on the nasal dorsum, sidewall, or alar base of the nose."
111,-5.733342,1.411738,2.431726,Nose,"Landmark 111 on the nasal dorsum, sidewall, or alar base of the nose."
112,-1.859887,2.355757,3.843181,Nose,"Landmark 112 on the nasal dorsum, sidewall, or alar base of the nose."
113,-4.988612,3.074654,3.083858,Nose,"Landmark 113 on the nasal dorsum, sidewall, or alar base of the nose."
114,-1.303263,1.416453,4.831091,Nose,"Landmark 114 on the nasal dorsum, sidewall, or alar base of the nose."
115,-1.305757,-0.672779,6.415959,Nose,"Landmark 115 on the nasal dorsum, sidewall, or alar base of the nose."
116,-6.46517,0.937119,1.689873,Nose,"Landmark 116 on the nasal dorsum, sidewall, or alar base of the nose."
117,-5.258659,0.945811,2.974312,Nose,"Landmark 117 on the nasal dorsum, sidewall, or alar base of the nose."
118,-4.432338,0.722096,3.522615,Nose,"Landmark 118 on the nasal dorsum, sidewall, or alar base of the nose."
119,-3.300681,0.861641,3.872784,Nose,"Landmark 119 on the nasal dorsum, sidewall, or alar base of the nose."
120,-2.430178,1.131492,4.039035,Nose,"Landmark 120 on the nasal dorsum, sidewall, or alar base of the nose."
121,-1.820731,1.467954,4.224124,Nose,"Landmark 121 on the nasal dorsum, sidewall, or alar base of the nose."
122,-0.563221,2.307693,5.566789,Nose,"Landmark 122 on the nasal dorsum, sidewall, or alar base of the nose."
123,-6.338145,-0.529279,1.881175,Nose,"Landmark 123 on the nasal dorsum, sidewall, or alar base of the nose."
124,-5.587698,3.208071,2.687839,Nose,"Landmark 124 on the nasal dorsum, sidewall, or alar base of the nose."
125,-0.242624,-1.462857,7.071491,Nose,"Landmark 125 on the nasal dorsum, sidewall, or alar base of the nose."
126,-1.611251,0.339326,4.895421,Nose,"Landmark 126 on the nasal dorsum, sidewall, or alar base of the nose."
127,-7.743095,2.364999,-2.005167,Nose,"Landmark 127 on the nasal dorsum, sidewall, or alar base of the nose."
128,-1.391142,1.851048,4.448999,Nose,"Landmark 128 on the nasal dorsum, sidewall, or alar base of the nose."
129,-1.785794,-0.978284,4.85047,Nose,"Landmark 129 on the nasal dorsum, sidewall, or alar base of the nose."
130,-4.670959,2.664461,3.084075,Cheek,Landmark 130 located on the malar or buccal region of the cheek surface.
131,-1.33397,-0.283761,6.097047,Cheek,Landmark 131 located on the malar or buccal region of the cheek surface.
132,-7.270895,-2.890917,-2.252455,Cheek,Landmark 132 located on the malar or buccal region of the cheek surface.
133,-1.856432,2.585245,3.757904,Cheek,Landmark 133 located on the malar or buccal region of the cheek surface.
134,-0.923388,0.073076,6.671944,Cheek,Landmark 134 located on the malar or buccal region of the cheek surface.
135,-5.000589,-6.135128,1.892523,Cheek,Landmark 135 located on the malar or buccal region of the cheek surface.
136,-5.085276,-7.17859,0.714711,Cheek,Landmark 136 located on the malar or buccal region of the cheek surface.
137,-7.159291,-0.81182,-0.072044,Cheek,Landmark 137 located on the malar or buccal region of the cheek surface.
138,-5.843051,-5.248023,0.924091,Cheek,Landmark 138 located on the malar or buccal region of the cheek surface.
139,-6.847258,3.662916,0.724695,Cheek,Landmark 139 located on the malar or buccal region of the cheek surface.
140,-2.412942,-8.258853,4.119213,Cheek,Landmark 140 located on the malar or buccal region of the cheek surface.
141,-0.179909,-1.689864,6.573301,Cheek,Landmark 141 located on the malar or buccal region of the cheek surface.
142,-2.103655,-0.163946,4.566119,Cheek,Landmark 142 located on the malar or buccal region of the cheek surface.
143,-6.407571,2.236021,1.560843,Cheek,Landmark 143 located on the malar or buccal region of the cheek surface.
144,-3.670075,2.360153,3.63523,Cheek,Landmark 144 located on the malar or buccal region of the cheek surface.
145,-3.177186,2.294265,3.775704,Cheek,Landmark 145 located on the malar or buccal region of the cheek surface.
146,-2.196121,-4.598322,4.479786,Cheek,Landmark 146 located on the malar or buccal region of the cheek surface.
147,-6.234883,-1.94443,1.663542,Cheek,Landmark 147 located on the malar or buccal region of the cheek surface.
148,-1.292924,-9.29592,4.094063,Cheek,Landmark 148 located on the malar or buccal region of the cheek surface.
149,-3.210651,-8.533278,2.802001,Cheek,Landmark 149 located on the malar or buccal region of the cheek surface.
150,-4.068926,-7.993109,1.925119,Cheek,Landmark 150 located on the malar or buccal region of the cheek surface.
151,0.0,6.54539,5.027311,Cheek,Landmark 151 located on the malar or buccal region of the cheek surface.
152,0.0,-9.403378,4.264492,Cheek,Landmark 152 located on the malar or buccal region of the cheek surface.
153,-2.724032,2.315802,3.777151,Cheek,Landmark 153 located on the malar or buccal region of the cheek surface.
154,-2.28846,2.398891,3.697603,Cheek,Landmark 154 located on the malar or buccal region of the cheek surface.
155,-1.998311,2.496547,3.689148,Cheek,Landmark 155 located on the malar or buccal region of the cheek surface.
156,-6.13004,3.399261,2.038516,Cheek,Landmark 156 located on the malar or buccal region of the cheek surface.
157,-2.28846,2.886504,3.775031,Cheek,Landmark 157 located on the malar or buccal region of the cheek surface.
158,-2.724032,2.96181,3.871767,Cheek,Landmark 158 located on the malar or buccal region of the cheek surface.
159,-3.177186,2.964136,3.876973,Cheek,Landmark 159 located on the malar or buccal region of the cheek surface.
160,-3.670075,2.927714,3.724325,Cheek,Landmark 160 located on the malar or buccal region of the cheek surface.
161,-4.018389,2.857357,3.482983,Cheek,Landmark 161 located on the malar or buccal region of the cheek surface.
162,-7.555811,4.106811,-0.991917,Cheek,Landmark 162 located on the malar or buccal region of the cheek surface.
163,-4.018389,2.483695,3.440898,Cheek,Landmark 163 located on the malar or buccal region of the cheek surface.
164,0.0,-2.521945,5.932265,Cheek,Landmark 164 located on the malar or buccal region of the cheek surface.
165,-1.776217,-2.683946,5.213116,Cheek,Landmark 165 located on the malar or buccal region of the cheek surface.
166,-1.222237,-1.182444,5.952465,Cheek,Landmark 166 located on the malar or buccal region of the cheek surface.
167,-0.731493,-2.536683,5.815343,Cheek,Landmark 167 located on the malar or buccal region of the cheek surface.
168,0.0,3.271027,5.236015,Cheek,Landmark 168 located on the malar or buccal region of the cheek surface.
169,-4.135272,-6.996638,2.67197,Cheek,Landmark 169 located on the malar or buccal region of the cheek surface.
170,-3.311811,-7.660815,3.382963,Cheek,Landmark 170 located on the malar or buccal region of the cheek surface.
171,-1.313701,-8.639995,4.702456,Cheek,Landmark 171 located on the malar or buccal region of the cheek surface.
172,-5.940524,-6.223629,-0.631468,Cheek,Landmark 172 located on the malar or buccal region of the cheek surface.
173,-1.998311,2.743838,3.74403,Cheek,Landmark 173 located on the malar or buccal region of the cheek surface.
174,-0.901447,1.236992,5.754256,Cheek,Landmark 174 located on the malar or buccal region of the cheek surface.
175,0.0,-8.765243,4.891441,Cheek,Landmark 175 located on the malar or buccal region of the cheek surface.
176,-2.308977,-8.974196,3.60907,Cheek,Landmark 176 located on the malar or buccal region of the cheek surface.
177,-6.954154,-2.439843,-0.131163,Cheek,Landmark 177 located on the malar or buccal region of the cheek surface.
178,-1.098819,-4.458788,5.120727,Cheek,Landmark 178 located on the malar or buccal region of the cheek surface.
179,-1.181124,-4.579996,5.189564,Cheek,Landmark 179 located on the malar or buccal region of the cheek surface.
180,-1.255818,-4.787901,5.237051,Cheek,Landmark 180 located on the malar or buccal region of the cheek surface.
181,-1.325085,-5.106507,5.20501,Cheek,Landmark 181 located on the malar or buccal region of the cheek surface.
182,-1.546388,-5.819392,4.757893,Cheek,Landmark 182 located on the malar or buccal region of the cheek surface.
183,-1.953754,-4.183892,4.431713,Cheek,Landmark 183 located on the malar or buccal region of the cheek surface.
184,-2.117802,-4.137093,4.555096,Cheek,Landmark 184 located on the malar or buccal region of the cheek surface.
185,-2.285339,-4.051196,4.582438,Cheek,Landmark 185 located on the malar or buccal region of the cheek surface.
186,-2.85016,-3.66572,4.484994,Cheek,Landmark 186 located on the malar or buccal region of the cheek surface.
187,-5.278538,-2.238942,2.861224,Cheek,Landmark 187 located on the malar or buccal region of the cheek surface.
188,-0.946709,1.907628,5.196779,Cheek,Landmark 188 located on the malar or buccal region of the cheek surface.
189,-1.314173,3.104912,4.231404,Cheek,Landmark 189 located on the malar or buccal region of the cheek surface.
190,-1.78,2.86,3.881555,Cheek,Landmark 190 located on the malar or buccal region of the cheek surface.
191,-1.84511,-4.09888,4.247264,Cheek,Landmark 191 located on the malar or buccal region of the cheek surface.
192,-5.436187,-4.030482,2.109852,Cheek,Landmark 192 located on the malar or buccal region of the cheek surface.
193,-0.766444,3.182131,4.861453,Cheek,Landmark 193 located on the malar or buccal region of the cheek surface.
194,-1.938616,-6.61441,4.521085,Cheek,Landmark 194 located on the malar or buccal region of the cheek surface.
195,0.0,1.059413,6.774605,Cheek,Landmark 195 located on the malar or buccal region of the cheek surface.
196,-0.516573,1.583572,6.148363,Cheek,Landmark 196 located on the malar or buccal region of the cheek surface.
197,0.0,1.728369,6.31675,Cheek,Landmark 197 located on the malar or buccal region of the cheek surface.
198,-1.246815,0.230297,5.681036,Cheek,Landmark 198 located on the malar or buccal region of the cheek surface.
199,0.0,-7.942194,5.181173,Chin,"Midpoint of the chin (pogonion), the most anterior point on the mandibular symphysis."
200,0.0,-6.991499,5.153478,Lips,"Landmark 200 along the vermilion border, philtrum, or commissures of the lips."
201,-0.997827,-6.930921,4.979576,Lips,"Landmark 201 along the vermilion border, philtrum, or commissures of the lips."
202,-3.288807,-5.382514,3.795752,Lips,"Landmark 202 along the vermilion border, philtrum, or commissures of the lips."
203,-2.311631,-1.566237,4.590085,Lips,"Landmark 203 along the vermilion border, philtrum, or commissures of the lips."
204,-2.68025,-6.111567,4.096152,Lips,"Landmark 204 along the vermilion border, philtrum, or commissures of the lips."
205,-3.832928,-1.537326,4.137731,Lips,"Landmark 205 along the vermilion border, philtrum, or commissures of the lips."
206,-2.96186,-2.274215,4.440943,Lips,"Landmark 206 along the vermilion border, philtrum, or commissures of the lips."
207,-4.386901,-2.683286,3.643886,Lips,"Landmark 207 along the vermilion border, philtrum, or commissures of the lips."
208,-1.217295,-7.834465,4.969286,Lips,"Landmark 208 along the vermilion border, philtrum, or commissures of the lips."
209,-1.542374,-0.136843,5.201008,Lips,"Landmark 209 along the vermilion border, philtrum, or commissures of the lips."
210,-3.878377,-6.041764,3.311079,Lips,"Landmark 210 along the vermilion border, philtrum, or commissures of the lips."
211,-3.084037,-6.809842,3.814195,Lips,"Landmark 211 along the vermilion border, philtrum, or commissures of the lips."
212,-3.747321,-4.503545,3.726453,Lips,"Landmark 212 along the vermilion border, philtrum, or commissures of the lips."
213,-6.094129,-3.205991,1.473482,Lips,"Landmark 213 along the vermilion border, philtrum, or commissures of the lips."
214,-4.588995,-4.728726,2.983221,Lips,"Landmark 214 along the vermilion border, philtrum, or commissures of the lips."
215,-6.583231,-3.941269,0.070268,Lips,"Landmark 215 along the vermilion border, philtrum, or commissures of the lips."
216,-3.49258,-3.19582,4.130198,Lips,"Landmark 216 along the vermilion border, philtrum, or commissures of the lips."
217,-1.255543,0.802341,5.307551,Lips,"Landmark 217 along the vermilion border, philtrum, or commissures of the lips."
218,-1.126122,-0.933602,6.538785,Lips,"Landmark 218 along the vermilion border, philtrum, or commissures of the lips."
219,-1.443109,-1.142774,5.905127,Lips,"Landmark 219 along the vermilion border, philtrum, or commissures of the lips."
220,-0.923043,-0.529042,7.003423,Lips,"Landmark 220 along the vermilion border, philtrum, or commissures of the lips."
221,-1.755386,3.529117,4.327696,Lips,"Landmark 221 along the vermilion border, philtrum, or commissures of the lips."
222,-2.632589,3.713828,4.364629,Lips,"Landmark 222 along the vermilion border, philtrum, or commissures of the lips."
223,-3.388062,3.721976,4.309028,Lips,"Landmark 223 along the vermilion border, philtrum, or commissures of the lips."
224,-4.075766,3.675413,4.076063,Lips,"Landmark 224 along the vermilion border, philtrum, or commissures of the lips."
225,-4.62291,3.474691,3.646321,Lips,"Landmark 225 along the vermilion border, philtrum, or commissures of the lips."
226,-5.171755,2.535753,2.670867,Lips,"Landmark 226 along the vermilion border, philtrum, or commissures of the lips."
227,-7.297331,0.763172,-0.048769,Lips,"Landmark 227 along the vermilion border, philtrum, or commissures of the lips."
228,-4.706828,1.651,3.109532,Lips,"Landmark 228 along the vermilion border, philtrum, or commissures of the lips."
229,-4.071712,1.476821,3.476944,Lips,"Landmark 229 along the vermilion border, philtrum, or commissures of the lips."
230,-3.269817,1.470659,3.731945,Lips,"Landmark 230 along the vermilion border, philtrum, or commissures of the lips."
231,-2.527572,1.617311,3.865444,Lips,"Landmark 231 along the vermilion border, philtrum, or commissures of the lips."
232,-1.970894,1.858505,3.961782,Lips,"Landmark 232 along the vermilion border, philtrum, or commissures of the lips."
233,-1.579543,2.097941,4.084996,Lips,"Landmark 233 along the vermilion border, philtrum, or commissures of the lips."
234,-7.664182,0.673132,-2.435867,Lips,"Landmark 234 along the vermilion border, philtrum, or commissures of the lips."
235,-1.397041,-1.340139,5.630378,Lips,"Landmark 235 along the vermilion border, philtrum, or commissures of the lips."
236,-0.884838,0.65874,6.233232,Lips,"Landmark 236 along the vermilion border, philtrum, or commissures of the lips."
237,-0.767097,-0.968035,7.077932,Lips,"Landmark 237 along the vermilion border, philtrum, or commissures of the lips."
238,-0.460213,-1.334106,6.787447,Lips,"Landmark 238 along the vermilion border, philtrum, or commissures of the lips."
239,-0.748618,-1.067994,6.798303,Lips,"Landmark 239 along the vermilion border, philtrum, or commissures of the lips."
240,-1.236408,-1.585568,5.48049,Lips,"Landmark 240 along the vermilion border, philtrum, or commissures of the lips."
241,-0.387306,-1.40999,6.957705,Lips,"Landmark 241 along the vermilion border, philtrum, or commissures of the lips."
242,-0.319925,-1.607931,6.508676,Lips,"Landmark 242 along the vermilion border, philtrum, or commissures of the lips."
243,-1.639633,2.556298,3.863736,Lips,"Landmark 243 along the vermilion border, philtrum, or commissures of the lips."
244,-1.255645,2.467144,4.2038,Lips,"Landmark 244 along the vermilion border, philtrum, or commissures of the lips."
245,-1.031362,2.382663,4.615849,Lips,"Landmark 245 along the vermilion border, philtrum, or commissures of the lips."
246,-4.253081,2.772296,3.315305,Lips,"Landmark 246 along the vermilion border, philtrum, or commissures of the lips."
247,-4.53,2.91,3.339685,Lips,"Landmark 247 along the vermilion border, philtrum, or commissures of the lips."
248,0.463928,0.955357,6.633583,Lips,"Landmark 248 along the vermilion border, philtrum, or commissures of the lips."
249,4.253081,2.577646,3.279702,Lips,"Landmark 249 along the vermilion border, philtrum, or commissures of the lips."
250,0.416106,-1.466449,6.447657,Lips,"Landmark 250 along the vermilion border, philtrum, or commissures of the lips."
251,7.08796,5.434801,0.09962,Lips,"Landmark 251 along the vermilion border, philtrum, or commissures of the lips."
252,2.628639,2.035898,3.848121,Lips,"Landmark 252 along the vermilion border, philtrum, or commissures of the lips."
253,3.198363,1.985815,3.796952,Lips,"Landmark 253 along the vermilion border, philtrum, or commissures of the lips."
254,3.775151,2.039402,3.646194,Lips,"Landmark 254 along the vermilion border, philtrum, or commissures of the lips."
255,4.465819,2.42295,3.155168,Lips,"Landmark 255 along the vermilion border, philtrum, or commissures of the lips."
256,2.164289,2.189867,3.851822,Lips,"Landmark 256 along the vermilion border, philtrum, or commissures of the lips."
257,3.208229,3.223926,4.115822,Lips,"Landmark 257 along the vermilion border, philtrum, or commissures of the lips."
258,2.673803,3.205337,4.092203,Lips,"Landmark 258 along the vermilion border, philtrum, or commissures of the lips."
259,3.745193,3.165286,3.972409,Lips,"Landmark 259 along the vermilion border, philtrum, or commissures of the lips."
260,4.161018,3.059069,3.719554,Lips,"Landmark 260 along the vermilion border, philtrum, or commissures of the lips."
261,5.062006,1.934418,2.776093,Lips,"Landmark 261 along the vermilion border, philtrum, or commissures of the lips."
262,2.266659,-7.425768,4.389812,Lips,"Landmark 262 along the vermilion border, philtrum, or commissures of the lips."
263,4.445859,2.663991,3.173422,Right Eye,"Outer corner of the right eye (lateral canthus), junction of upper and lower eyelids on the temporal side."
264,7.21453,2.263009,0.07315,Lips,"Landmark 264 along the vermilion border, philtrum, or commissures of the lips."
